Mode,Variance Ratio
M1,0.6717234425808121
M2,0.24066411504773824
M3,0.0228736230376995
M4,0.015652279988800123
M5,0.01014152976821632
M6,0.005644311160859693
M7,0.004496986034179744
M8,0.0042014729664169685
M9,0.003211471683809447
M10,0.0024139988046083115
M11,0.0022182072217025502
M12,0.0017310596910979869
M13,0.001563362972680942
M14,0.0013711405054886677
M15,0.001086174103083591
M16,0.0010017109720623627
M17,0.0008687626762667965
M18,0.0008088518575554384
M19,0.0006901599113448513
M20,0.0006349500884362809
M21,0.0005569708780082808
M22,0.0005468101598939125
M23,0.00048532777175473024
M24,0.00044720183907942946
M25,0.00039348249208028614
M26,0.0003144954621577978
M27,0.00029349368426120963
M28,0.00027842436643390805
M29,0.00025183336755293126
M30,0.0002359783344727366
M31,0.00022285758872081914
M32,0.0002087341214965553
M33,0.00017182423822418254
M34,0.0001636131482972773
M35,0.00014710226717252816
M36,0.00013765087372563555
M37,0.00013035106732643475
M38,0.00011564253378257618
M39,0.00011413038878199986
M40,0.00010520492400817742
M41,9.614458945521891e-05
M42,9.020905520348266e-05
M43,8.568821734614078e-05
M44,8.18856846780829e-05
M45,7.188372677652392e-05
M46,6.812018488327155e-05
M47,6.407370141797819e-05
M48,6.220018745489662e-05
M49,6.062169943674164e-05
M50,5.924978868246462e-05
M51,5.663324114146877e-05
M52,5.156067621483594e-05
M53,4.95769606289117e-05
M54,4.621832799897295e-05
M55,4.4289963517482145e-05
M56,4.3719250275875646e-05
M57,3.7271370374717884e-05
M58,3.5969447046330605e-05
M59,3.5409907509371164e-05
M60,3.4619007765873483e-05
M61,3.163811918592318e-05
M62,3.0227593203033326e-05
M63,2.7874809764497322e-05
M64,2.7419236444866063e-05
M65,2.6170583436500384e-05
M66,2.3694304512492977e-05
M67,2.336294588378297e-05
M68,2.1978301228194456e-05
M69,2.1184920008189574e-05
M70,2.0148152271943844e-05
M71,1.8564816194780247e-05
M72,1.7350790061943227e-05
M73,1.6482339435048312e-05
M74,1.5579162098908885e-05
M75,1.4469478352906036e-05
M76,1.3946658029162374e-05
M77,1.2917496043521915e-05
M78,1.1381140420425642e-05
M79,1.0849619553302979e-05
M80,1.0257781318849647e-05
M81,1.0195177779913749e-05
M82,9.935900369371298e-06
M83,9.307930026809684e-06
M84,8.75715891270243e-06
M85,8.434047400171869e-06
M86,7.928268347898047e-06
M87,7.661711294553735e-06
M88,7.40590049451195e-06
M89,6.519647411031208e-06
M90,6.109790622183223e-06
M91,5.759316693675025e-06
M92,5.431548482573607e-06
M93,4.945293928467583e-06
M94,4.296966265561844e-06
M95,4.054206035309967e-06
M96,3.67332058703343e-06
M97,1.620289444918232e-31
