Mode,Variance Ratio
M1,0.6764830381985201
M2,0.23857991063179582
M3,0.01944510297756276
M4,0.016066657887502535
M5,0.010195254112188808
M6,0.005551424354044997
M7,0.00442367490088237
M8,0.004324510771094085
M9,0.0033063506792542483
M10,0.0024271645067952094
M11,0.002227617172331598
M12,0.00169104823232718
M13,0.001595678528755664
M14,0.00139910955834303
M15,0.0011015839961056335
M16,0.0010659948915163707
M17,0.0009021500019509551
M18,0.0008039031693724035
M19,0.0006978617379840115
M20,0.0006474471294015083
M21,0.0005697194439173999
M22,0.0005443204184600783
M23,0.0004888419314352774
M24,0.0004482972035160164
M25,0.0003877122096069274
M26,0.00031556963160679033
M27,0.00030092033161763254
M28,0.0002782069614180825
M29,0.0002537444592781003
M30,0.00023499943851799498
M31,0.00022662357634092595
M32,0.00021299922310546754
M33,0.00017718273722962884
M34,0.00016079931305358435
M35,0.00014747703612845193
M36,0.00013747776079639282
M37,0.00013296695877510595
M38,0.00011679293154803992
M39,0.00010979283447074014
M40,0.0001038109899632217
M41,9.66124909927583e-05
M42,9.157925790599673e-05
M43,8.669779200891552e-05
M44,8.493291841058945e-05
M45,7.505526918209661e-05
M46,6.888835303576862e-05
M47,6.609499774168797e-05
M48,6.395257058736738e-05
M49,6.213717874941638e-05
M50,5.9199019845716176e-05
M51,5.575000741299427e-05
M52,5.2249830430332424e-05
M53,5.0632760551842085e-05
M54,4.740285330163038e-05
M55,4.537803203305057e-05
M56,4.502145871561304e-05
M57,3.8926017174865886e-05
M58,3.7495449105435714e-05
M59,3.676979820227408e-05
M60,3.422130350481622e-05
M61,3.300968202603752e-05
M62,3.081771635066529e-05
M63,2.879632187390837e-05
M64,2.8378317301672785e-05
M65,2.6236546960128666e-05
M66,2.443645595701887e-05
M67,2.350933741941389e-05
M68,2.21440561271815e-05
M69,2.137005640253864e-05
M70,2.0707017615261314e-05
M71,1.954395974610925e-05
M72,1.8465576897711592e-05
M73,1.679046902154051e-05
M74,1.5898108045874083e-05
M75,1.4546852847312776e-05
M76,1.389871569521963e-05
M77,1.3214381200592797e-05
M78,1.153869796306119e-05
M79,1.117400554538399e-05
M80,1.072722102397234e-05
M81,1.0498091251688233e-05
M82,1.0380905670585066e-05
M83,9.666992625463691e-06
M84,8.816436238401878e-06
M85,8.389084051929064e-06
M86,8.058566672665485e-06
M87,7.739668158441862e-06
M88,7.362496061869992e-06
M89,6.423380986180732e-06
M90,6.3128281996501565e-06
M91,5.697782879769947e-06
M92,5.513795981527399e-06
M93,4.725854082873752e-06
M94,4.564833171927291e-06
M95,4.2081630601469704e-06
M96,3.701437477886776e-06
M97,1.7365476693143374e-31
